,num_trades,final_pnl,final_equity,total_return,cagr,sharpe,max_dd
baseline,24188.0,-4438.4236392863,5561.5763607137,-44.384236392863,-0.6093611013546552,0.10221167354980457,-119.49993185221874
majority,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
consensus,16615.0,4880.205476084884,14880.205476084884,48.80205476084884,0.4149167788050301,0.10203911697167559,-77.7889091724899
weighted,20306.0,-2543.4811777887953,7456.518822211205,-25.434811777887955,-0.3052963885394111,0.13346440825675054,-118.32421819471452
strict,9813.0,8395.949208587866,18395.949208587866,83.95949208587867,0.6370424068035563,0.25728541909595165,-25.528765895006657
