risk_per_trade,max_notional_per_trade,slippage_pct,dynamic_notional,final_equity,net_pnl,total_trades,win_rate,expectancy,max_drawdown
0.002,0.01,0.0002,False,21054.421419794955,11054.421419794955,5659,0.3599575896801555,1.9534231171222736,-0.5178500955568729
0.002,0.01,0.0002,True,21054.421419794955,11054.421419794955,5659,0.3599575896801555,1.9534231171222736,-0.5178500955568729
0.002,0.01,0.0005,False,17972.701600190478,7972.701600190478,5659,0.3597808800141368,1.4088534370366688,-0.6311230853922325
0.002,0.01,0.0005,True,17972.701600190478,7972.701600190478,5659,0.3597808800141368,1.4088534370366688,-0.6311230853922325
0.002,0.01,0.001,False,12836.165272569498,2836.1652725694985,5659,0.3597808800141368,0.5011778180896851,-0.8747466554588672
0.002,0.01,0.001,True,12836.165272569498,2836.1652725694985,5659,0.3597808800141368,0.5011778180896851,-0.8747466554588672
0.002,0.025,0.0002,False,21207.870517471238,11207.870517471238,5659,0.3627849443364552,1.9805390559235274,-0.5041908982635113
0.002,0.025,0.0002,True,21239.59559621965,11239.59559621965,5659,0.3627849443364552,1.9861451839935818,-0.5010316087567531
0.002,0.025,0.0005,False,18059.76687156588,8059.76687156588,5659,0.362254815338399,1.4242387120632412,-0.6236449061420553
0.002,0.025,0.0005,True,18007.522668698104,8007.522668698104,5659,0.362254815338399,1.4150066564230634,-0.6288486049774744
0.002,0.025,0.001,False,12737.12365753336,2737.1236575333605,5659,0.3620781056723803,0.4836762073746925,-0.8849936200804919
0.002,0.025,0.001,True,12657.497204931511,2657.497204931511,5659,0.3620781056723803,0.469605443529165,-0.8929273425508782
0.002,0.05,0.0002,False,21924.554015851805,11924.554015851805,5659,0.36313836366849267,2.1071839575635014,-0.4342230493420663
0.002,0.05,0.0002,True,22039.27783823512,12039.27783823512,5659,0.36313836366849267,2.1274567659012575,-0.4228267052601127
0.002,0.05,0.0005,False,18265.24558015292,8265.245580152921,5659,0.36296165400247393,1.4605487860316178,-0.6040924367488955
0.002,0.05,0.0005,True,18299.241098994244,8299.241098994244,5659,0.36296165400247393,1.4665561228122037,-0.6007141667127728
0.002,0.05,0.001,False,12047.442030344642,2047.4420303446423,5659,0.36296165400247393,0.36180279737492427,-0.9538006791876884
0.002,0.05,0.001,True,12182.256459576547,2182.256459576547,5659,0.36296165400247393,0.3856258101390022,-0.9403941508438134
0.002,0.1,0.0002,False,22954.24939020914,12954.249390209141,5659,0.36313836366849267,2.289141083267218,-0.3737213876973556
0.002,0.1,0.0002,True,23074.331630068995,13074.331630068995,5659,0.36313836366849267,2.3103607757676397,-0.3625388536974619
0.002,0.1,0.0005,False,18397.62025594042,8397.62025594042,5659,0.36296165400247393,1.4839406707793668,-0.5934825828160405
0.002,0.1,0.0005,True,18446.440244510508,8446.440244510508,5659,0.36296165400247393,1.4925676346546233,-0.588661326627596
0.002,0.1,0.001,False,11367.160724523943,1367.160724523943,5659,0.36296165400247393,0.24159051502455497,-1.0215316236288359
0.002,0.1,0.001,True,11609.569567338815,1609.5695673388145,5659,0.36296165400247393,0.2844265006783555,-0.9973345987729622
0.007333333333333333,0.01,0.0002,False,21054.421419794955,11054.421419794955,5659,0.3599575896801555,1.9534231171222736,-0.5178500955568729
0.007333333333333333,0.01,0.0002,True,21054.421419794955,11054.421419794955,5659,0.3599575896801555,1.9534231171222736,-0.5178500955568729
0.007333333333333333,0.01,0.0005,False,17972.701600190478,7972.701600190478,5659,0.3597808800141368,1.4088534370366688,-0.6311230853922325
0.007333333333333333,0.01,0.0005,True,17972.701600190478,7972.701600190478,5659,0.3597808800141368,1.4088534370366688,-0.6311230853922325
0.007333333333333333,0.01,0.001,False,12836.165272569498,2836.1652725694985,5659,0.3597808800141368,0.5011778180896851,-0.8747466554588672
0.007333333333333333,0.01,0.001,True,12836.165272569498,2836.1652725694985,5659,0.3597808800141368,0.5011778180896851,-0.8747466554588672
0.007333333333333333,0.025,0.0002,False,21207.870517471238,11207.870517471238,5659,0.3627849443364552,1.9805390559235274,-0.5041908982635113
0.007333333333333333,0.025,0.0002,True,21239.59559621965,11239.59559621965,5659,0.3627849443364552,1.9861451839935818,-0.5010316087567531
0.007333333333333333,0.025,0.0005,False,18059.76687156588,8059.76687156588,5659,0.362254815338399,1.4242387120632412,-0.6236449061420553
0.007333333333333333,0.025,0.0005,True,18007.522668698104,8007.522668698104,5659,0.362254815338399,1.4150066564230634,-0.6288486049774744
0.007333333333333333,0.025,0.001,False,12737.12365753336,2737.1236575333605,5659,0.3620781056723803,0.4836762073746925,-0.8849936200804919
0.007333333333333333,0.025,0.001,True,12657.497204931511,2657.497204931511,5659,0.3620781056723803,0.469605443529165,-0.8929273425508782
0.007333333333333333,0.05,0.0002,False,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.007333333333333333,0.05,0.0002,True,22058.51319688952,12058.513196889518,5659,0.36313836366849267,2.130855839704827,-0.42283987822889546
0.007333333333333333,0.05,0.0005,False,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
0.007333333333333333,0.05,0.0005,True,18360.09030778923,8360.090307789229,5659,0.36296165400247393,1.4773087661758684,-0.5959996135886828
0.007333333333333333,0.05,0.001,False,12097.112766876726,2097.112766876726,5659,0.36296165400247393,0.3705800966384132,-0.9490308642220305
0.007333333333333333,0.05,0.001,True,12211.041506114925,2211.041506114925,5659,0.36296165400247393,0.39071240609913005,-0.9377388857804753
