combo,num_trades,largest_loss,largest_loss_entry_index,largest_win,largest_win_entry_index,median_pl,mean_pl
1,11321,-388790.74376353214,2022-05-20,1630699.0357601154,2020-03-24,510.3244058654808,35904.58306018438
2,11321,-388790.74376353214,2022-05-20,1630699.0357601154,2020-03-24,510.3244058654808,35904.58306018438
3,11321,-388790.74376353214,2022-05-20,1630699.0357601154,2020-03-24,510.3244058654808,35904.58306018438
4,11321,-369031.45302584383,2022-05-20,1195783.7206831877,2025-04-09,503.8519450317405,34073.0179052907
5,11321,-255254.1310555593,2022-05-20,1045246.941162668,2020-03-24,396.60300595092775,22586.581645820013
