entry_index,exit_index,direction,entry_price,exit_price,exit_reason,qty,pl,pnl_pct
2025-04-09,2025-04-09,1,4965.27978515625,5291.302664620535,TP,3679,1195783.7206831877,0.0032722232194064
2020-04-06,2020-04-17,1,2578.280029296875,2857.462820870536,TP,2828,788069.6593857424,0.0039919729858506
2020-04-02,2020-04-09,1,2458.5400390625,2795.59716796875,TP,2333,785206.1269560547,0.0039933511655033
2020-03-24,2020-04-07,1,2344.43994140625,2718.4941755022323,TP,2094,782286.7147495261,0.0039943955231696
2020-03-16,2020-03-23,-1,2508.590087890625,2193.6529366629466,TP,2477,778855.5680614185,0.0039927546042974
2020-03-12,2020-03-18,-1,2630.860107421875,2362.3986467633927,TP,2894,775403.7253154721,0.0039909231018398
2020-03-11,2020-03-12,-1,2825.60009765625,2575.264369419643,TP,3092,772289.7206071978,0.0039907584888913
2022-10-17,2022-10-25,1,3638.64990234375,3835.249860491072,TP,3810,746272.1893157092,0.0026913099716534
2022-05-23,2022-05-27,1,3919.419921875,4149.965611049107,TP,3233,742818.9161784032,0.0029307097288602
2022-05-25,2022-05-27,1,3929.590087890625,4155.474330357143,TP,3234,727966.9812678719,0.0028637203322384
