entry_index,exit_index,direction,entry_price,exit_price,exit_reason,qty,pl,pnl_pct
2022-05-20,2022-05-20,1,3927.760009765625,3814.330008370536,SL,2175,-255254.1310555593,-0.0014938579163517
2024-08-05,2024-08-05,-1,5151.14013671875,5240.02294921875,SL,2198,-206687.62789550785,-0.0009124205734106
2025-04-01,2025-04-02,-1,5597.52978515625,5687.234793526785,SL,2165,-206330.99510707223,-0.0008509917239778
2025-04-02,2025-04-02,-1,5580.759765625,5670.17546735491,SL,2170,-206143.32144531165,-0.0008509418270271
2022-09-23,2022-10-05,-1,3727.139892578125,3806.1019984654017,SL,2472,-204408.8155678012,-0.0011089262345559
2022-03-11,2022-03-14,1,4279.5,4177.826450892857,SL,1929,-204384.43172767907,-0.0012378803735763
2022-03-04,2022-03-18,-1,4342.1201171875,4436.300083705357,SL,1903,-187488.53086648943,-0.0011342601883588
2025-05-19,2025-06-04,-1,5902.8798828125,5983.087018694197,SL,2082,-179282.05282170785,-0.0007291079806928
2022-01-26,2022-01-26,1,4408.43017578125,4317.595982142857,SL,1839,-175152.18519426667,-0.0010799632737759
2022-03-24,2022-04-12,1,4469.97998046875,4382.085797991072,SL,1857,-171521.24968477932,-0.0010327613625232
