symbol,entry,exit,shares,entry_date,exit_date,entry_value,percent_of_equity_at_entry,risk_amount_usd,risk_pct_of_equity,pnl,pnl_percent,exit_reason,entry_time_idx
TSLA,17.333332061767578,17.159998741149902,576,2018-10-22 00:00:00,2018-10-22 00:00:00,9984.0,99.84,99.84,0.9984,-99.83999267578133,-0.9983999267578134,STOP_LOSS,203
TSLA,25.119333267211914,24.868139934539794,394,2018-12-14 00:00:00,2018-12-14 00:00:00,9897.02,98.9702,98.97,0.989702,-98.97017307281521,-0.989701730728152,STOP_LOSS,240
TSLA,20.251333236694336,20.04881990432739,483,2019-02-20 00:00:00,2019-02-20 00:00:00,9781.39,97.8139,97.81,0.978139,-97.81393953323412,-0.9781393953323413,STOP_LOSS,284
TSLA,19.652666091918945,19.456139430999755,493,2019-03-04 00:00:00,2019-03-04 00:00:00,9688.76,96.8876,96.89,0.968876,-96.88764383316068,-0.9688764383316069,STOP_LOSS,292
TSLA,18.43600082397461,18.251640815734863,521,2019-03-18 00:00:00,2019-03-18 00:00:00,9605.16,96.0516,96.05,0.960516,-96.05156429290794,-0.9605156429290794,STOP_LOSS,302
TSLA,17.635332107543945,17.458978786468506,539,2019-03-25 00:00:00,2019-03-25 00:00:00,9505.44,95.0544,95.05,0.950544,-95.05444005966156,-0.9505444005966156,STOP_LOSS,307
TSLA,17.851999282836914,17.673479290008544,527,2019-04-15 00:00:00,2019-04-15 00:00:00,9408.0,94.08,94.08,0.9408,-94.08003622055114,-0.9408003622055114,STOP_LOSS,322
TSLA,17.516666412353516,17.34149974822998,532,2019-04-23 00:00:00,2019-04-23 00:00:00,9318.87,93.1887,93.19,0.931887,-93.18866531372002,-0.9318866531372002,STOP_LOSS,327
TSLA,16.5086669921875,16.343580322265623,558,2019-04-26 00:00:00,2019-04-26 00:00:00,9211.84,92.1184,92.12,0.921184,-92.1183618164072,-0.9211836181640721,STOP_LOSS,330
TSLA,16.32266616821289,16.159439506530763,559,2019-05-09 00:00:00,2019-05-09 00:00:00,9124.37,91.2437,91.24,0.912437,-91.24370388030934,-0.9124370388030933,STOP_LOSS,339
TSLA,15.133999824523926,14.982659826278686,597,2019-05-17 00:00:00,2019-05-17 00:00:00,9035.0,90.35,90.35,0.9035,-90.34997895240797,-0.9034997895240796,STOP_LOSS,345
TSLA,13.690667152404785,13.553760480880737,654,2019-05-21 00:00:00,2019-05-21 00:00:00,8953.7,89.537,89.54,0.89537,-89.53696317672777,-0.8953696317672776,STOP_LOSS,347
TSLA,12.84866714477539,12.720180473327636,689,2019-05-23 00:00:00,2019-05-23 00:00:00,8852.73,88.5273,88.53,0.885273,-88.52731662750308,-0.8852731662750308,STOP_LOSS,349
TSLA,11.9313325881958,23.32866668701172,735,2019-11-12 00:00:00,2019-11-12 00:00:00,8769.53,87.6953,87.7,0.876953,8377.0405626297,83.77040562629699,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,469
TSLA,23.968000411987305,23.728320407867432,715,2019-11-20 00:00:00,2019-11-20 00:00:00,17137.12,171.3712,171.37,1.713712,-171.37120294570872,-1.7137120294570873,STOP_LOSS,475
TSLA,22.32466697692871,22.101420307159422,760,2019-12-05 00:00:00,2019-12-05 00:00:00,16966.75,169.6675,169.67,1.696675,-169.66746902465928,-1.696674690246593,STOP_LOSS,485
TSLA,26.209999084472656,25.947899093627928,641,2020-03-18 00:00:00,2020-03-18 00:00:00,16800.61,168.0061,168.01,1.680061,-168.00609413147072,-1.6800609413147074,STOP_LOSS,555
TSLA,43.39666748046875,232.663330078125,383,2022-06-28 00:00:00,2022-06-28 00:00:00,16620.92,166.2092,166.21,1.662092,72489.13177490234,724.8913177490234,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,1129
TSLA,228.49000549316406,226.2051054382324,390,2022-06-30 00:00:00,2022-06-30 00:00:00,89111.1,891.111,891.11,8.91111,-891.1110214233452,-8.911110214233451,STOP_LOSS,1131
TSLA,223.07000732421875,220.83930725097656,395,2022-10-10 00:00:00,2022-10-10 00:00:00,88112.65,881.1265,881.13,8.811265,-881.126528930665,-8.81126528930665,STOP_LOSS,1201
TSLA,216.5,214.335,403,2022-10-12 00:00:00,2022-10-12 00:00:00,87249.5,872.495,872.49,8.72495,-872.4949999999968,-8.72494999999997,STOP_LOSS,1203
TSLA,204.99000549316406,202.94010543823242,421,2022-10-20 00:00:00,2022-10-20 00:00:00,86300.79,863.0079,863.01,8.630079,-863.0079231262207,-8.630079231262206,STOP_LOSS,1209
TSLA,214.97999572753906,212.83019577026366,398,2022-11-03 00:00:00,2022-11-03 00:00:00,85562.04,855.6204,855.62,8.556204,-855.6203829956114,-8.556203829956115,STOP_LOSS,1219
TSLA,191.3000030517578,189.38700302124025,443,2022-11-09 00:00:00,2022-11-09 00:00:00,84745.9,847.459,847.46,8.47459,-847.4590135192816,-8.474590135192816,STOP_LOSS,1223
TSLA,183.1699981689453,181.33829818725584,458,2022-11-18 00:00:00,2022-11-18 00:00:00,83891.86,838.9186,838.92,8.389186,-838.9185916137762,-8.389185916137762,STOP_LOSS,1230
TSLA,167.8699951171875,166.19129516601564,494,2022-11-22 00:00:00,2022-11-22 00:00:00,82927.78,829.2778,829.28,8.292778,-829.2777758789011,-8.292777758789011,STOP_LOSS,1232
TSLA,182.4499969482422,180.62549697875977,450,2022-12-06 00:00:00,2022-12-06 00:00:00,82102.5,821.025,821.02,8.21025,-821.0249862670878,-8.210249862670878,STOP_LOSS,1241
TSLA,174.0399932861328,172.2995933532715,467,2022-12-08 00:00:00,2022-12-08 00:00:00,81276.68,812.7668,812.77,8.127668,-812.7667686462376,-8.127667686462376,STOP_LOSS,1243
TSLA,167.82000732421875,166.14180725097657,480,2022-12-13 00:00:00,2022-12-13 00:00:00,80553.6,805.536,805.54,8.05536,-805.5360351562467,-8.055360351562467,STOP_LOSS,1246
TSLA,156.8000030517578,155.23200302124025,509,2022-12-15 00:00:00,2022-12-15 00:00:00,79811.2,798.112,798.11,7.98112,-798.1120155334415,-7.981120155334416,STOP_LOSS,1248
TSLA,150.22999572753906,148.72769577026367,525,2022-12-19 00:00:00,2022-12-19 00:00:00,78870.75,788.7075,788.71,7.887075,-788.7074775695837,-7.8870747756958375,STOP_LOSS,1250
TSLA,137.8000030517578,136.42200302124024,567,2022-12-21 00:00:00,2022-12-21 00:00:00,78132.6,781.326,781.33,7.81326,-781.3260173034616,-7.8132601730346165,STOP_LOSS,1252
TSLA,125.3499984741211,124.09649848937988,617,2022-12-23 00:00:00,2022-12-23 00:00:00,77340.95,773.4095,773.41,7.734095,-773.4094905853271,-7.734094905853271,STOP_LOSS,1254
TSLA,109.0999984741211,108.00899848937988,702,2023-01-03 00:00:00,2023-01-03 00:00:00,76588.2,765.882,765.88,7.65882,-765.8819892883341,-7.658819892883341,STOP_LOSS,1259
TSLA,162.99000549316406,161.3601054382324,465,2023-04-21 00:00:00,2023-04-21 00:00:00,75790.35,757.9035,757.9,7.579035,-757.9035255432187,-7.579035255432187,STOP_LOSS,1334
TSLA,153.75,277.8999938964844,488,2023-07-13 00:00:00,2023-07-13 00:00:00,75030.0,750.3,750.3,7.503,60585.197021484375,605.8519702148437,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,1390
TSLA,281.3800048828125,278.5662048339844,482,2023-07-20 00:00:00,2023-07-20 00:00:00,135625.16,1356.2516,1356.25,13.562516,-1356.2516235351509,-13.56251623535151,STOP_LOSS,1395
TSLA,273.5799865722656,270.844186706543,491,2023-09-12 00:00:00,2023-09-12 00:00:00,134327.77,1343.2777,1343.28,13.432777,-1343.2777340698165,-13.432777340698166,STOP_LOSS,1432
TSLA,251.0500030517578,248.53950302124022,529,2023-12-15 00:00:00,2023-12-15 00:00:00,132805.45,1328.0545,1328.05,13.280545,-1328.0545161438054,-13.280545161438054,STOP_LOSS,1499
TSLA,261.44000244140625,258.8256024169922,503,2023-12-28 00:00:00,2023-12-28 00:00:00,131504.32,1315.0432,1315.04,13.150432,-1315.0432122802758,-13.150432122802759,STOP_LOSS,1507
TSLA,181.05999755859375,179.2493975830078,720,2024-02-06 00:00:00,2024-02-06 00:00:00,130363.2,1303.632,1303.63,13.03632,-1303.63198242188,-13.036319824218797,STOP_LOSS,1533
TSLA,184.02000427246094,182.17980422973633,701,2024-03-05 00:00:00,2024-03-05 00:00:00,128998.02,1289.9802,1289.98,12.899802,-1289.9802299499472,-12.899802299499472,STOP_LOSS,1552
TSLA,169.47999572753906,167.78519577026367,754,2024-03-14 00:00:00,2024-03-14 00:00:00,127787.92,1277.8792,1277.88,12.778792,-1277.8791677856461,-12.77879167785646,STOP_LOSS,1559
TSLA,175.7899932861328,174.03209335327148,719,2024-04-01 00:00:00,2024-04-01 00:00:00,126393.01,1263.9301,1263.93,12.639301,-1263.9300517272998,-12.639300517272996,STOP_LOSS,1570
TSLA,166.6300048828125,164.96370483398437,751,2024-04-03 00:00:00,2024-04-03 00:00:00,125139.13,1251.3913,1251.39,12.513913,-1251.3913366699287,-12.513913366699287,STOP_LOSS,1572
TSLA,157.11000061035156,155.53890060424806,789,2024-04-17 00:00:00,2024-04-17 00:00:00,123959.79,1239.5979,1239.6,12.395979,-1239.5979048156667,-12.395979048156667,STOP_LOSS,1582
TSLA,149.92999267578125,148.43069274902345,818,2024-04-19 00:00:00,2024-04-19 00:00:00,122642.73,1226.4273,1226.43,12.264273,-1226.4273400878803,-12.264273400878803,STOP_LOSS,1584
TSLA,142.0500030517578,230.1699981689453,855,2024-09-05 00:00:00,2024-09-05 00:00:00,121452.75,1214.5275,1214.53,12.145275,75342.59582519531,753.425958251953,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,1679
TSLA,228.1300048828125,225.84870483398439,863,2024-09-12 00:00:00,2024-09-12 00:00:00,196876.19,1968.7619,1968.76,19.687619,-1968.761942138663,-19.68761942138663,STOP_LOSS,1684
TSLA,243.9199981689453,241.48079818725586,799,2024-09-20 00:00:00,2024-09-20 00:00:00,194892.08,1948.9208,1948.92,19.489208,-1948.920785369875,-19.489207853698748,STOP_LOSS,1690
TSLA,250.0,247.5,771,2024-10-02 00:00:00,2024-10-02 00:00:00,192750.0,1927.5,1927.5,19.275,-1927.5,-19.275000000000002,STOP_LOSS,1698
TSLA,288.5299987792969,285.6446987915039,662,2024-11-07 00:00:00,2024-11-07 00:00:00,191006.86,1910.0686,1910.07,19.100686,-1910.068591918941,-19.10068591918941,STOP_LOSS,1724
TSLA,321.2200012207031,318.0078012084961,588,2024-11-14 00:00:00,2024-11-14 00:00:00,188877.36,1888.7736,1888.77,18.887736,-1888.7736071777197,-18.887736071777198,STOP_LOSS,1729
TSLA,338.739990234375,335.35259033203124,552,2024-11-19 00:00:00,2024-11-19 00:00:00,186984.47,1869.8447,1869.84,18.698447,-1869.844746093755,-18.69844746093755,STOP_LOSS,1732
TSLA,352.55999755859375,349.03439758300783,525,2024-11-25 00:00:00,2024-11-25 00:00:00,185094.0,1850.94,1850.94,18.5094,-1850.9399871826076,-18.509399871826076,STOP_LOSS,1736
TSLA,357.0899963378906,353.5190963745117,513,2024-12-03 00:00:00,2024-12-03 00:00:00,183187.17,1831.8717,1831.87,18.318717,-1831.871681213379,-18.31871681213379,STOP_LOSS,1741
TSLA,369.489990234375,365.79509033203124,491,2025-02-06 00:00:00,2025-02-06 00:00:00,181419.59,1814.1959,1814.2,18.141959,-1814.1958520507878,-18.141958520507877,STOP_LOSS,1784
TSLA,362.8900146484375,359.2611145019531,495,2025-05-28 00:00:00,2025-05-28 00:00:00,179630.56,1796.3056,1796.31,17.963056,-1796.305572509777,-17.96305572509777,STOP_LOSS,1860
TSLA,325.5899963378906,322.3340963745117,546,2025-07-29 00:00:00,2025-07-29 00:00:00,177772.14,1777.7214,1777.72,17.777214,-1777.721380004884,-17.777213800048838,STOP_LOSS,1902
TSLA,340.010009765625,336.60990966796874,518,2025-08-25 00:00:00,2025-08-25 00:00:00,176125.19,1761.2519,1761.25,17.612519,-1761.2518505859446,-17.612518505859445,STOP_LOSS,1921
TSLA,351.6700134277344,348.153313293457,496,2025-08-28 00:00:00,2025-08-28 00:00:00,174428.33,1744.2833,1744.28,17.442833,-1744.2832666015693,-17.442832666015693,STOP_LOSS,1924
TSLA,350.8399963378906,347.3315963745117,492,2025-09-08 00:00:00,2025-09-08 00:00:00,172613.28,1726.1328,1726.13,17.261328,-1726.1327819824219,-17.261327819824217,STOP_LOSS,1930
TSLA,368.80999755859375,365.1218975830078,463,2026-03-20 00:00:00,2026-03-20 00:00:00,170759.03,1707.5903,1707.59,17.075903,-1707.5902886962913,-17.07590288696291,STOP_LOSS,2064
TSLA,417.8500061035156,426.010009765625,405,2026-05-21 00:00:00,2026-05-22 00:00:00,169229.25,1692.2925,1692.29,16.922925,3304.801483154297,33.04801483154297,BACKTEST_END,-1
AMZN,88.09249877929688,87.21157379150391,113,2019-06-03 00:00:00,2019-06-03 00:00:00,9954.45,99.5445,99.54,0.995445,-99.54452362060515,-0.9954452362060514,STOP_LOSS,355
AMZN,95.06849670410156,94.11781173706055,104,2019-06-25 00:00:00,2019-06-25 00:00:00,9887.12,98.8712,98.87,0.988712,-98.87123657226539,-0.9887123657226539,STOP_LOSS,371
AMZN,96.1094970703125,95.14840209960937,101,2019-07-29 00:00:00,2019-07-29 00:00:00,9707.06,97.0706,97.07,0.970706,-97.07059204101608,-0.9707059204101608,STOP_LOSS,394
AMZN,95.14399719238281,94.19255722045898,101,2020-01-10 00:00:00,2020-01-10 00:00:00,9609.54,96.0954,96.1,0.960954,-96.0954371643071,-0.960954371643071,STOP_LOSS,509
AMZN,94.5999984741211,93.65399848937989,101,2020-01-23 00:00:00,2020-01-23 00:00:00,9554.6,95.546,95.55,0.95546,-95.54599845886185,-0.9554599845886185,STOP_LOSS,517
AMZN,103.96399688720703,102.92435691833496,91,2020-02-24 00:00:00,2020-02-24 00:00:00,9460.72,94.6072,94.61,0.946072,-94.60723716735804,-0.9460723716735804,STOP_LOSS,538
AMZN,99.87950134277344,138.8455047607422,94,2022-02-03 00:00:00,2022-02-03 00:00:00,9388.67,93.8867,93.89,0.938867,3662.8043212890625,36.628043212890624,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,1030
AMZN,147.89849853515625,146.4195135498047,88,2022-03-04 00:00:00,2022-03-04 00:00:00,13015.07,130.1507,130.15,1.301507,-130.1506787109372,-1.301506787109372,STOP_LOSS,1050
AMZN,137.4530029296875,136.07847290039064,94,2022-03-08 00:00:00,2022-03-08 00:00:00,12920.58,129.2058,129.21,1.292058,-129.20582275390518,-1.2920582275390518,STOP_LOSS,1052
AMZN,141.85299682617188,140.43446685791017,90,2022-04-26 00:00:00,2022-04-26 00:00:00,12766.77,127.6677,127.67,1.276677,-127.66769714355377,-1.2766769714355375,STOP_LOSS,1086
AMZN,138.16700744628906,136.78533737182616,91,2022-04-29 00:00:00,2022-04-29 00:00:00,12573.2,125.732,125.73,1.25732,-125.73197677612418,-1.257319767761242,STOP_LOSS,1089
AMZN,116.40699768066406,115.24292770385742,107,2022-05-06 00:00:00,2022-05-06 00:00:00,12455.55,124.5555,124.56,1.245555,-124.55548751831091,-1.2455548751831091,STOP_LOSS,1094
AMZN,108.78900146484375,107.70111145019531,114,2022-05-10 00:00:00,2022-05-10 00:00:00,12401.95,124.0195,124.02,1.240195,-124.01946166992181,-1.2401946166992182,STOP_LOSS,1096
AMZN,105.37200164794922,104.31828163146973,116,2022-05-12 00:00:00,2022-05-12 00:00:00,12223.15,122.2315,122.23,1.222315,-122.23152191162063,-1.2223152191162063,STOP_LOSS,1098
AMZN,107.11250305175781,106.04137802124023,113,2022-05-20 00:00:00,2022-05-20 00:00:00,12103.71,121.0371,121.04,1.210371,-121.03712844848633,-1.2103712844848633,STOP_LOSS,1104
AMZN,107.4000015258789,106.32600151062012,112,2022-06-30 00:00:00,2022-06-30 00:00:00,12028.8,120.288,120.29,1.20288,-120.28800170898444,-1.2028800170898444,STOP_LOSS,1131
AMZN,118.54000091552734,117.35460090637207,100,2022-09-22 00:00:00,2022-09-22 00:00:00,11854.0,118.54,118.54,1.1854,-118.54000091552734,-1.1854000091552734,STOP_LOSS,1189
AMZN,113.77999877929688,112.6421987915039,104,2022-10-03 00:00:00,2022-10-03 00:00:00,11833.12,118.3312,118.33,1.183312,-118.33119873046928,-1.1833119873046927,STOP_LOSS,1196
AMZN,114.55999755859375,113.41439758300781,102,2022-10-10 00:00:00,2022-10-10 00:00:00,11685.12,116.8512,116.85,1.168512,-116.85119750976568,-1.168511975097657,STOP_LOSS,1201
AMZN,112.20999908447266,111.08789909362793,103,2022-10-13 00:00:00,2022-10-13 00:00:00,11557.63,115.5763,115.58,1.155763,-115.5762990570073,-1.155762990570073,STOP_LOSS,1204
AMZN,103.41000366210938,102.37590362548828,111,2022-10-31 00:00:00,2022-10-31 00:00:00,11478.51,114.7851,114.79,1.147851,-114.78510406494185,-1.1478510406494185,STOP_LOSS,1216
AMZN,96.79000091552734,95.82210090637207,117,2022-11-02 00:00:00,2022-11-02 00:00:00,11324.43,113.2443,113.24,1.132443,-113.24430107116686,-1.1324430107116685,STOP_LOSS,1218
AMZN,89.30000305175781,88.40700302124023,126,2022-11-04 00:00:00,2022-11-04 00:00:00,11251.8,112.518,112.52,1.12518,-112.51800384521556,-1.1251800384521555,STOP_LOSS,1220
AMZN,86.13999938964844,85.27859939575195,129,2022-12-19 00:00:00,2022-12-19 00:00:00,11112.06,111.1206,111.12,1.111206,-111.12059921264641,-1.111205992126464,STOP_LOSS,1250
AMZN,83.79000091552734,82.95210090637207,131,2022-12-23 00:00:00,2022-12-23 00:00:00,10976.49,109.7649,109.76,1.097649,-109.76490119934127,-1.0976490119934128,STOP_LOSS,1254
AMZN,81.81999969482422,130.14999389648438,133,2023-06-22 00:00:00,2023-06-22 00:00:00,10882.06,108.8206,108.82,1.088206,6427.889228820801,64.27889228820801,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,1376
