month_end,equity,monthly_return,monthly_pnl
1928-11-30,10000.0,0.0,0.0
1928-12-31,9994.770138925824,-0.0005229861074176334,-5.22986107417637
1929-01-31,9994.770138925824,0.0,0.0
1929-02-28,9994.770138925824,0.0,0.0
1929-03-31,9994.770138925824,0.0,0.0
1929-04-30,9994.770138925824,0.0,0.0
1929-05-31,9994.479577783855,-2.9071318092266374e-05,-0.29056114196828275
1929-06-30,9979.251112977165,-0.0015236876205682037,-15.228464806690681
1929-07-31,9979.251112977165,0.0,0.0
1929-08-31,9979.251112977165,0.0,0.0
1929-09-30,9979.251112977165,0.0,0.0
1929-10-31,9979.251112977165,0.0,0.0
1929-11-30,10007.873440871648,0.0028681839519262287,28.622327894483533
1929-12-31,9981.845549568176,-0.0026007414519427785,-26.027891303472643
1930-01-31,9981.845549568176,0.0,0.0
1930-02-28,9981.845549568176,0.0,0.0
1930-03-31,9981.845549568176,0.0,0.0
1930-04-30,9981.845549568176,0.0,0.0
1930-05-31,9981.845549568176,0.0,0.0
1930-06-30,9981.845549568176,0.0,0.0
1930-07-31,9981.845549568176,0.0,0.0
1930-08-31,9981.845549568176,0.0,0.0
1930-09-30,9981.845549568176,0.0,0.0
1930-10-31,9981.845549568176,0.0,0.0
1930-11-30,9981.845549568176,0.0,0.0
1930-12-31,9981.845549568176,0.0,0.0
1931-01-31,9981.845549568176,0.0,0.0
1931-02-28,9981.845549568176,0.0,0.0
1931-03-31,9981.845549568176,0.0,0.0
1931-04-30,9981.845549568176,0.0,0.0
1931-05-31,9981.845549568176,0.0,0.0
1931-06-30,9981.845549568176,0.0,0.0
1931-07-31,9981.845549568176,0.0,0.0
1931-08-31,9981.845549568176,0.0,0.0
1931-09-30,9981.845549568176,0.0,0.0
1931-10-31,10096.18110563687,0.011454350350436071,114.33555606869413
1931-11-30,10096.18110563687,0.0,0.0
1931-12-31,10096.18110563687,0.0,0.0
1932-01-31,10096.18110563687,0.0,0.0
1932-02-29,10096.18110563687,0.0,0.0
1932-03-31,10096.18110563687,0.0,0.0
1932-04-30,10096.18110563687,0.0,0.0
1932-05-31,10080.18521043764,-0.001584351056291955,-15.99589519923029
1932-06-30,10064.489799882209,-0.0015570557710763433,-15.695410555430499
1932-07-31,9855.925215032985,-0.020722817449888464,-208.56458484922405
1932-08-31,9554.19889139959,-0.030613698567150238,-301.7263236333947
