Date,equity
1928-11-02,10000.0
1928-11-05,10000.0
1928-11-07,10000.0
1928-11-08,10000.0
1928-11-09,10000.0
1928-11-12,10000.0
1928-11-13,10000.0
1928-11-14,10000.0
1928-11-15,10000.0
1928-11-16,10000.0
1928-11-19,10000.0
1928-11-20,10000.0
1928-11-21,10000.0
1928-11-22,10000.0
1928-11-23,10000.0
1928-11-26,10000.0
1928-11-27,10000.0
1928-11-28,10000.0
1928-11-30,10000.0
1928-12-03,10000.0
1928-12-04,10000.0
1928-12-05,10000.0
1928-12-06,10000.0
1928-12-07,10000.0
1928-12-10,10000.0
1928-12-11,10000.0
1928-12-12,10000.0
1928-12-13,10000.0
1928-12-14,10000.0
1928-12-17,10000.0
1928-12-18,10000.0
1928-12-19,10000.0
1928-12-20,10000.0
1928-12-21,10000.0
1928-12-24,10000.0
1928-12-26,10000.0
1928-12-27,10000.0
1928-12-28,9994.770138925825
1928-12-31,9994.770138925825
1929-01-02,9994.770138925825
1929-01-03,9994.770138925825
1929-01-04,9994.770138925825
1929-01-07,9994.770138925825
1929-01-08,9994.770138925825
1929-01-09,9994.770138925825
1929-01-10,9994.770138925825
1929-01-11,9994.770138925825
1929-01-14,9994.770138925825
1929-01-15,9994.770138925825
1929-01-16,9994.770138925825
1929-01-17,9994.770138925825
1929-01-18,9994.770138925825
1929-01-21,9994.770138925825
1929-01-22,9994.770138925825
1929-01-23,9994.770138925825
1929-01-24,9994.770138925825
1929-01-25,9994.770138925825
1929-01-28,9994.770138925825
1929-01-29,9994.770138925825
1929-01-30,9994.770138925825
1929-01-31,9994.770138925825
1929-02-01,9994.770138925825
1929-02-04,9994.770138925825
1929-02-05,9994.770138925825
1929-02-06,9994.770138925825
1929-02-07,9994.770138925825
1929-02-08,9994.770138925825
1929-02-11,9994.770138925825
1929-02-13,9994.770138925825
1929-02-14,9994.770138925825
1929-02-15,9994.770138925825
1929-02-18,9994.770138925825
1929-02-19,9994.770138925825
1929-02-20,9994.770138925825
1929-02-21,9994.770138925825
1929-02-25,9994.770138925825
1929-02-26,9994.770138925825
1929-02-27,9994.770138925825
1929-02-28,9994.770138925825
1929-03-01,9994.770138925825
1929-03-04,9994.770138925825
1929-03-05,9994.770138925825
1929-03-06,9994.770138925825
1929-03-07,9994.770138925825
1929-03-08,9994.770138925825
1929-03-11,9994.770138925825
1929-03-12,9994.770138925825
1929-03-13,9994.770138925825
1929-03-14,9994.770138925825
1929-03-15,9994.770138925825
1929-03-18,9994.770138925825
1929-03-19,9994.770138925825
1929-03-20,9994.770138925825
1929-03-21,9994.770138925825
1929-03-22,9994.770138925825
1929-03-25,9994.770138925825
1929-03-26,9994.770138925825
1929-03-27,9994.770138925825
1929-03-28,9994.770138925825
1929-04-01,9994.770138925825
1929-04-02,9994.770138925825
1929-04-03,9994.770138925825
1929-04-04,9994.770138925825
1929-04-05,9994.770138925825
1929-04-08,9994.770138925825
1929-04-09,9994.770138925825
1929-04-10,9994.770138925825
1929-04-11,9994.770138925825
