entry_index,exit_index,direction,entry_price,exit_price,exit_reason,qty,pl,pnl_pct
1928-12-31,1929-01-02,-1,24.350000381469727,24.537143434797013,SL,20,-5.229861074175123,-0.0005229861074175123
1929-05-02,1929-05-03,-1,26.11000061035156,26.246429170880997,SL,19,-4.08823266165601,-0.00040903718693178343
1929-05-06,1929-05-09,-1,26.31999969482422,26.02714238848005,TP,18,3.797671519688179,0.00038012135260827735
1929-06-18,1929-06-25,-1,26.420000076293945,26.637856892177037,SL,18,-5.396982687268947,-0.0005399963695223895
1929-06-19,1929-06-21,-1,26.31999969482422,26.5107137135097,SL,18,-4.906612330845469,-0.0004911974932767112
1929-06-21,1929-06-25,-1,26.6200008392334,26.811429159981866,SL,18,-4.924869788578624,-0.0004932675262414969
1929-11-20,1930-03-18,1,21.270000457763672,23.770000185285298,TP,23,56.01078372246883,0.005612724150175115
1929-11-21,1929-12-20,1,21.61000061035156,20.484286444527758,SL,23,-27.388455827985513,-0.00272922182897817
1929-12-05,1929-12-12,1,21.8700008392334,21.314286640712194,SL,22,-13.706852385929642,-0.0013696068867089736
1929-12-06,1929-12-12,1,22.450000762939453,21.957858085632324,SL,22,-12.321038917541504,-0.0012328230481705772
1931-10-07,1931-10-20,1,9.779999732971191,10.749999863760811,TP,51,47.97122668388908,0.00480584742026632
1931-10-09,1931-10-14,1,10.550000190734863,10.052857262747628,SL,47,-24.861567624364618,-0.002478765881668964
1931-10-13,1931-11-06,1,10.100000381469728,11.028571946280344,TP,49,44.005106657028165,0.0043983312008314315
1931-10-14,1931-10-20,1,9.869999885559082,10.844285692487444,TP,50,47.22079035214017,0.004699072229424184
1932-06-01,1932-06-02,-1,4.400000095367432,4.527143035616193,SL,114,-15.99589519923071,-0.0015843510562919606
1932-06-02,1932-06-03,-1,4.639999866485596,4.771428482873099,SL,108,-15.695410555430808,-0.0015570557710763906
1932-07-07,1932-07-11,-1,4.449999809265137,4.548571280070713,SL,113,-12.641426179477104,-0.0012560424254814244
1932-07-08,1932-07-11,-1,4.409999847412109,4.519285610743931,SL,113,-13.84762123925341,-0.00137761939142268
1932-07-11,1932-07-13,-1,4.599999904632568,4.691428525107248,SL,109,-11.46711962134499,-0.0011423708668811153
1932-07-12,1932-07-13,-1,4.599999904632568,4.700714247567313,SL,108,-12.373949026652731,-0.001234120333085164
1932-07-13,1932-07-15,-1,4.820000171661377,4.9121430941990445,SL,103,-10.987181039060877,-0.0010971645535888508
1932-07-14,1932-07-15,-1,4.789999961853027,4.897857189178467,SL,104,-12.715311637878418,-0.0012711278981092486
1932-07-15,1932-07-21,-1,4.929999828338623,5.0378570556640625,SL,101,-12.391509942531586,-0.0012403346218752393
1932-07-19,1932-07-20,-1,4.78000020980835,4.881428820746286,SL,104,-12.045695559365422,-0.0012072175052992417
1932-07-20,1932-07-21,-1,4.929999828338623,5.032857009342739,SL,101,-11.886505264077906,-0.0011927033340500151
1932-07-21,1932-07-22,-1,5.050000190734863,5.1585716179439,SL,98,-12.1348998851776,-0.0012190814910313433
1932-07-22,1932-07-25,-1,5.199999809265137,5.311428376606532,SL,95,-12.07971387931274,-0.0012150186686830683
1932-07-25,1932-07-27,-1,5.480000019073486,5.589999982288906,SL,90,-11.393196691104379,-0.0011473605015461864
1932-07-26,1932-07-27,-1,5.400000095367432,5.522857223238264,SL,91,-12.67139864492414,-0.0012775486061760847
1932-07-27,1932-07-28,-1,5.670000076293945,5.791428634098598,SL,87,-12.057574535642386,-0.0012172170320141438
1932-07-28,1932-07-29,-1,5.849999904632568,5.979999882834298,SL,84,-12.411398160934459,-0.0012544626235374858
1932-07-29,1932-08-03,-1,6.03000020980835,6.1700001784733365,SL,81,-12.828427478858414,-0.0012982418042850532
1932-08-01,1932-08-03,-1,6.110000133514404,6.2492858341762,SL,80,-12.631656063624781,-0.0012799901980218443
1932-08-02,1932-08-03,-1,5.869999885559082,6.014999866485596,SL,83,-13.522208407402038,-0.0013719877243769025
1932-08-03,1932-08-05,-1,6.389999866485596,6.536428417478289,SL,77,-12.767028416156789,-0.0012971454641272505
1932-08-04,1932-08-05,-1,6.519999980926514,6.7014285155705045,SL,75,-15.096140096868796,-0.001535778143802505
1932-08-05,1932-08-08,-1,6.800000190734863,6.9807144573756625,SL,72,-14.501027211870458,-0.0014775045443861747
1932-08-08,1932-08-10,-1,7.429999828338623,7.621428421565464,SL,65,-13.925808548586685,-0.001420995244742996
1932-08-15,1932-08-22,-1,7.440000057220459,7.692857231412615,SL,65,-17.919316326209497,-0.0018310964038431368
1932-08-16,1932-08-23,-1,7.679999828338623,7.958571297781808,SL,63,-19.033842564105996,-0.0019485529439629441
1932-08-17,1932-08-23,-1,7.510000228881836,7.786428826195853,SL,64,-19.172070242745527,-0.001966535634924804
1932-08-18,1932-08-23,-1,7.599999904632568,7.875714199883597,SL,64,-19.132114889962324,-0.001966304103960113
1932-08-19,1932-08-23,-1,7.53000020980835,7.799285888671875,SL,64,-18.71620346069336,-0.00192734853850292
1932-08-22,1932-08-23,-1,7.769999980926514,8.03857135772705,SL,62,-18.133165360450743,-0.001870914615383749
1932-08-23,1932-08-29,-1,8.149999618530273,8.418570961271014,SL,59,-17.326559199196968,-0.0017910427883418584
1932-08-24,1932-09-02,-1,8.329999923706055,8.588571241923741,SL,57,-16.21337513405939,-0.001678980310714004
1932-08-25,1932-08-29,-1,8.260000228881836,8.522142989294869,SL,58,-16.683360117231054,-0.0017305552970760573
1932-08-26,1932-09-02,-1,8.390000343322754,8.637143066951207,SL,57,-15.565365266391238,-0.001617385312447844
1932-08-29,1932-09-02,-1,8.579999923706055,8.791428395680018,SL,55,-13.100465954371833,-0.0013634647401983046
1932-08-30,1932-09-02,-1,8.470000267028809,8.69214299746922,SL,56,-13.914312919616686,-0.0014501451813489826
1932-08-31,1932-09-02,-1,8.390000343322754,8.601428747177124,SL,57,-13.529649039268493,-0.0014121033913788285
1932-09-01,1932-09-02,-1,8.470000267028809,8.684285811015538,SL,56,-13.474310478210478,-0.0014083163370970846
1932-09-15,1932-09-21,-1,7.659999847412109,7.907142673219953,SL,62,-16.797775190625856,-0.0017581563228442649
1932-09-16,1932-09-21,-1,7.570000171661377,7.834285872323172,SL,62,-17.85505345167432,-0.0018721088936198113
1932-09-20,1932-09-21,-1,7.619999885559082,7.884285586220877,SL,62,-17.85815343393598,-0.0018759459029040562
1932-09-23,1932-09-26,1,8.399999618530273,8.052142415727888,SL,56,-20.950403335571302,-0.0022049138569384193
1932-09-27,1932-10-05,1,8.130000114440918,7.77785723549979,SL,58,-21.895826985222975,-0.0023095067204839444
1932-10-11,1932-10-19,-1,6.880000114440918,7.16571433203561,SL,68,-20.896406804221044,-0.00220919299776509
1932-12-05,1932-12-06,-1,6.539999961853027,6.664999893733433,SL,72,-10.47087509264262,-0.0011094443536864974
1933-02-28,1933-03-03,-1,5.659999847412109,5.8171427590506415,SL,83,-14.51264165333337,-0.0015393986811344568
1933-03-01,1933-03-15,-1,5.769999980926514,5.932857138769967,SL,81,-14.658799783774796,-0.0015572994095385368
1933-03-02,1933-03-03,-1,5.650000095367432,5.816428695406232,SL,83,-15.282523811135952,-0.0016260939749679266
1933-03-03,1933-03-15,-1,5.840000152587891,6.009285892759051,SL,80,-15.010059225899854,-0.0015997044166010065
1933-03-15,1933-03-21,-1,6.809999942779541,6.46428564616612,TP,68,22.04549217360362,0.002353273672498171
1933-04-05,1933-04-07,-1,5.949999809265137,6.074999809265137,SL,78,-11.214099985122681,-0.001194252744241301
1933-04-06,1933-04-10,-1,6.050000190734863,6.1700001784733365,SL,77,-10.705849070549021,-0.0011414894652244355
1933-04-07,1933-04-10,-1,6.119999885559082,6.225714206695557,SL,76,-9.49940839767456,-0.0010140126577054015
1933-04-20,1933-04-21,-1,7.820000171661377,7.5271430015563965,TP,59,15.817193026065826,0.0016901172530464673
1933-04-24,1933-05-01,-1,7.909999847412109,8.116428443363734,SL,59,-13.645977152143177,-0.0014556557201400569
1933-04-26,1933-05-01,-1,7.769999980926514,8.019999980926514,SL,60,-16.466199998855593,-0.001759057603330554
1933-04-27,1933-05-01,-1,7.699999809265137,7.9499998433249335,SL,60,-16.462002032143715,-0.0017617080873194477
1933-04-28,1933-05-01,-1,7.829999923706055,8.077857085636683,SL,59,-16.08554254940575,-0.00172445865245754
1933-05-01,1933-05-05,-1,8.430000305175781,8.682143211364746,SL,55,-15.331509857177734,-0.0016464614544025975
1933-06-01,1933-06-02,-1,9.739999771118164,9.927142347608294,SL,47,-10.253481084278663,-0.0011029443854265642
1933-06-16,1933-06-19,-1,9.8100004196167,10.05428613935198,SL,47,-12.942498847280183,-0.0013937333161915385
1933-06-19,1933-06-27,-1,10.68000030517578,10.910714626312254,SL,43,-11.379955821990967,-0.0012271787762883689
1933-06-30,1933-07-03,-1,10.90999984741211,11.206428391592842,SL,42,-13.908218849182097,-0.0015016615459037758
1933-07-03,1933-07-07,-1,11.619999885559082,11.894285542624337,SL,39,-12.15032062108173,-0.0013138353279272326
1933-07-24,1933-08-22,-1,10.5,10.841428484235491,SL,43,-16.132924822126128,-0.0017467762320138268
1933-08-02,1933-08-07,1,10.489999771118164,10.089999675750732,SL,43,-18.651074090957643,-0.0020229599733933615
1933-08-03,1933-08-25,1,10.359999656677246,11.175714084080287,TP,44,34.435594820839995,0.0037425747383512237
1933-08-04,1933-08-25,1,10.130000114440918,10.942857469831193,TP,45,35.122730987412524,0.0038030218839366398
1933-08-07,1933-08-22,1,10.050000190734863,10.872857502528598,TP,46,36.389136333738,0.003925218133176741
1933-11-16,1933-11-20,-1,10.029999732971191,10.203571251460485,SL,46,-9.445669838224163,-0.001014900452211085
1933-11-29,1933-12-05,-1,9.880000114440918,10.040000098092216,SL,47,-8.98435923698974,-0.0009663151376565744
1934-01-29,1934-01-30,-1,11.1899995803833,11.322856630597796,SL,41,-6.90592904159002,-0.0007434874706197253
1934-09-17,1934-09-19,-1,8.449999809265137,8.553571224212646,SL,54,-7.049156396865845,-0.0007594718849316325
1934-09-18,1934-09-19,-1,8.520000457763672,8.615714754377093,SL,54,-6.628652041843973,-0.0007147097997708377
1934-12-28,1934-12-31,-1,9.40999984741211,9.467856884002686,SL,49,-4.296084785461426,-0.000463540691297373
1935-04-22,1935-05-15,1,9.40999984741211,9.811428342546735,TP,49,18.208906269073474,0.00196562306916468
1935-04-24,1935-05-10,1,9.31999969482422,9.745713778904507,TP,49,19.403310134887672,0.0020904480730929566
1935-04-25,1935-05-16,1,9.4399995803833,9.219999722072057,SL,49,-12.242553036689733,-0.001316220438915941
1935-04-26,1935-05-16,1,9.399999618530272,9.177856922149656,SL,49,-12.34559210395813,-0.001329047687076338
1935-04-29,1935-05-14,1,9.390000343322754,9.810000010899135,TP,49,19.119873694419837,0.0020610628773542416
1935-05-17,1935-05-29,-1,10.010000228881836,9.794285910470146,TP,46,8.46239863640918,0.0009103439592878267
1935-08-19,1935-08-22,-1,11.420000076293944,11.575714383806499,SL,40,-7.685372303553979,-0.000826003273505916
1936-10-27,1936-10-29,-1,16.93000030517578,17.03999982561384,SL,27,-4.42709706006734,-0.00047620590678389656
1936-10-28,1936-10-29,-1,16.940000534057617,17.059285845075333,SL,27,-4.678083411897891,-0.0005034432918455377
1937-10-25,1937-11-03,1,12.0,11.620000089917864,SL,38,-15.895996583121153,-0.0017115478912008851
1937-10-26,1937-11-08,1,11.739999771118164,11.357857022966657,SL,39,-16.36142716898238,-0.0017646818994541083
1938-05-31,1938-06-01,-1,9.270000457763672,9.399286133902413,SL,49,-7.789228153228723,-0.0008416019656277921
1938-10-13,1938-11-18,1,13.239999771118164,12.874285357339042,SL,34,-13.884450060708156,-0.0015014354165841768
1938-10-14,1938-11-22,1,13.149999618530272,12.770713806152342,SL,35,-14.735253419876098,-0.0015958355580296883
1938-10-17,1938-11-09,1,13.06999969482422,13.7857141494751,TP,35,23.592555923461916,0.002559170009606459
1938-10-18,1938-11-18,1,13.25,12.910714149475098,SL,34,-12.98621891784668,-0.0014050664072928925
1938-10-19,1938-11-09,1,13.010000228881836,13.710000446864536,TP,35,23.044657621383625,0.002496864833449961
1938-10-20,1938-11-18,1,13.210000038146973,12.877857072012766,SL,35,-13.087353816032374,-0.0014144695191843416
1940-03-04,1940-03-05,-1,12.09000015258789,12.123571532113212,SL,38,-2.7351324277605618,-0.0002960293960792802
1940-03-05,1940-03-06,-1,12.149999618530272,12.185713836124963,SL,38,-2.8188402541024153,-0.0003051796203017738
1940-03-06,1940-03-15,-1,12.239999771118164,12.165714263916016,TP,37,1.2956837749481203,0.00014031905203684895
1940-05-24,1940-06-12,1,9.15999984741211,9.668570927211217,TP,50,23.970553997584776,0.002595582022621935
1940-05-27,1940-06-03,1,9.380000114440918,9.127143110547747,SL,49,-13.849613196372973,-0.0014957828304574784
1940-05-29,1940-06-12,1,9.25,9.807142802647181,TP,49,25.84674732971189,0.00279567635568179
